,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
16012,200000,1998,gasoline,1.8,2900.0
16014,390000,1992,gasoline,1.8,2400.0
16017,300000,1989,gasoline,1.8,1500.0
16018,500000,1984,diesel,1.6,600.0
16022,298700,2002,gasoline,2.0,4100.0
16023,230000,2007,gasoline,3.2,7500.0
16024,340000,1998,diesel,1.9,4000.0
16025,324000,2004,diesel,1.9,4800.0
16031,390000,1992,gasoline,1.8,1350.0
16036,240000,2006,gasoline,2.0,7555.0
16038,240000,1996,gasoline,2.0,2000.0
16043,198000,2011,diesel,1.6,9900.0
16054,156000,2011,diesel,2.0,11950.0
16055,287000,2002,gasoline,1.8,3900.0
16066,215000,2006,gasoline,2.0,6780.0
16067,142000,2016,diesel,1.6,14150.0
16069,295000,1994,gasoline,2.0,1850.0
16076,220000,2007,diesel,2.0,7250.0
16077,108000,2018,gasoline,1.4,18500.0
16078,444560,1988,gasoline,1.8,715.38
16079,265000,2000,diesel,1.9,3600.0
16081,331000,2007,diesel,1.9,7300.0
16085,320000,1998,gasoline,1.8,4150.0
16089,250000,2002,gasoline,1.6,4650.0
16094,380000,1995,gasoline,1.8,1800.0
16096,193000,2002,diesel,1.9,5150.0
16098,320000,1989,gasoline,1.6,1350.0
16100,241000,2011,gas,1.4,8500.0
16102,160000,2016,diesel,1.6,14700.0
16103,276500,2001,diesel,1.9,3700.0
16104,340000,1992,diesel,1.9,1050.0
16106,999999,1992,gasoline,1.8,1000.0
16120,345544,1995,gasoline,2.0,2700.0
16121,319500,2007,diesel,1.9,6200.0
16122,291000,2006,diesel,2.0,7000.0
16123,389000,2006,diesel,2.0,5300.0
16128,400000,2000,diesel,1.9,3300.0
16129,300000,2006,diesel,2.0,7300.0
16137,370000,1998,gasoline,1.6,3177.46
16139,350000,1990,gasoline,2.0,900.0
16141,314000,2009,gas,1.4,6908.38
16145,320000,2001,gasoline,2.0,4500.0
16148,382000,1988,gasoline,1.8,1000.0
16153,200200,2008,diesel,2.0,7999.0
16155,389000,1989,diesel,1.9,2800.0
16169,240000,1999,gasoline,1.8,2200.0
16170,182000,2016,diesel,2.0,17999.0
16171,277600,1994,diesel,1.9,3900.0
16179,290000,2000,gasoline,2.8,3500.0
16183,345000,1999,diesel,2.5,2400.0
16187,450000,1997,gasoline,1.6,2500.0
16193,142000,2008,diesel,1.9,8300.0
16195,165000,2016,diesel,1.6,16250.0
16196,290000,2001,gasoline,1.8,4850.0
16197,149000,2017,diesel,2.0,19900.0
16200,350000,1989,gasoline,1.8,1450.0
16201,350000,1989,gasoline,1.8,1400.0
16202,350000,1995,diesel,1.9,2418.67
16203,375000,2002,diesel,2.5,5499.0
16209,195000,2016,diesel,2.0,19300.0
16214,430000,1994,diesel,1.9,2980.0
16216,255090,1995,gasoline,2.0,1490.0
16218,300000,1991,gasoline,1.8,1541.31
16223,298000,2003,gasoline,1.8,5100.0
16224,250000,2007,diesel,2.0,5300.0
16228,191000,2015,diesel,1.6,14700.0
16230,500000,1991,gasoline,1.8,2500.0
16231,151000,2010,gasoline,1.4,7200.0
16233,250000,1992,gasoline,1.8,950.0
16234,285500,2006,diesel,2.0,6200.0
16240,240000,2011,diesel,1.6,9100.0
16244,300000,1994,gasoline,2.0,2000.0
16247,305000,1998,diesel,1.9,3300.0
16252,400000,1996,diesel,1.9,3700.0
16255,340000,1990,gasoline,1.8,1350.0
16256,400000,1991,gasoline,1.8,1300.0
16260,524744,1990,gasoline,1.8,2000.0
16261,134200,2006,gasoline,3.2,8500.0
16263,116000,2012,gasoline,1.8,11750.0
16264,245000,1984,gasoline,1.6,200.0
16270,380000,2005,diesel,2.0,5950.0
16271,450000,1987,diesel,1.6,300.0
16273,170000,2008,gasoline,1.8,7610.0
16275,440000,1989,gas,1.6,500.0
16285,300000,2007,gasoline,2.0,6000.0
16293,200000,1990,diesel,1.9,1200.0
16297,215000,2002,diesel,1.9,3800.0
16299,32000,2006,diesel,2.0,5850.0
16305,290000,1996,gasoline,1.8,2590.0
16312,232000,2013,gasoline,2.0,12450.0
16314,298000,2009,gasoline,1.4,6900.0
16315,368000,2002,diesel,1.9,4250.0
16319,246000,2001,gasoline,1.8,3750.0
16320,207000,2008,gasoline,2.0,5799.0
16321,250000,1994,gasoline,1.8,1850.0
16324,260000,2005,gasoline,2.0,5200.0
16327,400000,1994,gasoline,1.8,1400.0
16328,245000,2009,gasoline,1.6,6500.0
16336,245000,2009,gas,1.4,8100.0
16339,311000,1999,diesel,1.9,4600.0
16343,172000,2011,gasoline,1.8,10900.0
16345,206000,1998,gasoline,1.8,2490.0
16347,350000,1991,gasoline,2.0,2500.0
16355,280000,1998,gasoline,1.6,3850.0
16356,220000,2007,diesel,2.0,6990.0
16361,300000,1986,diesel,1.6,1900.0
16362,300000,1993,gasoline,1.8,1900.0
16364,240000,2011,gas,1.4,8536.46
16365,300000,1998,gasoline,1.8,3000.0
16370,204000,2009,gasoline,1.8,6300.0
16373,280000,1994,gasoline,1.8,2000.0
16376,336000,1998,gas,1.8,3300.0
16377,300001,1998,gasoline,1.8,4150.0
16381,214000,2001,diesel,1.9,6300.0
16382,348612,2007,diesel,2.0,5699.99
16383,355000,2010,diesel,2.0,9600.0
16385,1452,2001,gasoline,1.8,4000.0
16387,260000,2005,gasoline,2.8,5300.0
16388,375789,1999,diesel,1.9,4500.0
16390,500000,1997,diesel,1.9,2800.0
16393,348000,1993,diesel,1.9,1200.0
16402,300000,1998,gasoline,1.6,3100.0
16403,180000,2010,gas,1.4,8500.0
16404,350000,1990,diesel,1.9,2000.0
16410,258000,2004,gasoline,1.8,4550.0
16412,302000,2008,diesel,2.0,7300.0
16413,350000,1991,gasoline,1.8,1800.0
16417,555555,1988,diesel,1.6,829.93
16421,220000,2007,diesel,2.0,9500.0
16425,234000,2001,gasoline,2.0,4350.0
16432,300000,1991,gasoline,1.8,1000.0
16435,262000,2008,diesel,2.0,7950.0
16436,365000,2002,diesel,1.9,5100.0
16438,330000,1996,gasoline,1.6,2350.0
16439,400000,1991,gasoline,1.8,1579.25
16440,25,1990,gasoline,1.8,500.0
16449,350000,2001,gasoline,1.8,4150.0
16453,333333,1995,gasoline,1.8,2300.0
16456,166000,2008,diesel,1.9,8300.0
16457,123456,1994,gasoline,1.8,2000.0
16465,166000,2009,gasoline,1.8,6850.0
16470,305000,2002,gasoline,1.8,3950.0
16472,181000,2015,diesel,1.6,14650.0
16475,242000,2006,diesel,2.0,6390.0
16481,488000,1999,diesel,1.9,3600.0
16484,270000,2007,diesel,1.9,6850.0
16485,398000,2000,diesel,1.9,4700.0
16491,1000000,1988,diesel,1.6,850.0
16493,190000,2007,diesel,2.0,7500.0
16497,215000,2009,gasoline,1.4,6500.0
16498,239000,2004,gas,2.0,5500.0
16501,215000,1992,diesel,1.6,1300.0
16502,140000,2015,diesel,1.6,14490.0
16505,353000,2006,diesel,1.9,6850.0
16506,270000,1987,gasoline,1.6,700.0
16509,410000,1995,gasoline,1.8,1800.0
16510,187000,2015,diesel,1.6,14350.0
16518,150000,1993,gasoline,1.8,1250.0
16521,300000,1989,gasoline,1.8,1000.0
16527,290000,1997,gasoline,1.6,3100.0
16528,320000,1991,gas,1.8,1750.0
16529,423000,1989,gas,1.8,1400.0
16533,235000,2004,diesel,1.9,6399.0
16535,200001,1991,gasoline,1.8,1300.0
16538,354000,1996,gasoline,1.6,3500.0
16545,500000,2000,gasoline,2.8,3000.0
16547,400000,1991,diesel,1.9,1700.0
16548,197000,1997,gasoline,1.8,3700.0
16549,200000,1999,gasoline,2.8,2900.0
16550,198787,1989,gasoline,1.8,600.0
16552,480000,1997,diesel,1.9,3900.0
16557,296000,2008,diesel,2.0,7800.0
16561,325000,1992,gasoline,1.8,2050.0
16568,191200,2008,gasoline,1.4,6800.0
16569,22222,1992,gasoline,1.8,1500.0
16572,309000,2003,gasoline,2.8,5100.0
16573,159000,2012,gasoline,1.8,11850.0
16574,500000,1987,diesel,1.6,900.0
16578,278987,1995,gasoline,1.8,1249.0
16583,248000,1995,gasoline,1.8,1450.0
16584,241400,2003,gasoline,1.8,4650.0
16585,283000,2007,diesel,2.0,8500.0
16589,196000,2008,gasoline,1.8,7500.0
16597,257000,2008,hybrid-petrol,1.8,6700.0
16598,400000,1997,diesel,1.9,3200.0
16599,426000,2000,diesel,1.9,3800.0
16601,565000,1991,diesel,1.6,1470.0
16602,370000,2006,diesel,2.0,7600.0
16607,205000,2011,gasoline,2.5,7750.0
16608,228000,2010,gasoline,1.4,7200.0
16609,243000,1999,gasoline,1.8,3000.0
16610,398000,1997,gasoline,1.8,3499.0
16612,398000,1992,gasoline,1.8,750.0
16615,196000,2016,diesel,1.6,15399.0
16616,390000,1990,gasoline,1.8,1200.0
16618,350000,1997,gasoline,1.6,2900.0
16621,500000,1993,diesel,1.9,1350.0
16626,183000,2006,diesel,1.9,7000.0
16627,278500,2006,diesel,2.0,7200.0
16629,200000,2011,gasoline,1.4,8999.0
16631,370000,1996,gasoline,1.8,2850.0
16632,300000,1991,gasoline,1.8,1300.0
16635,343160,2002,diesel,1.9,5500.0
16637,374000,1999,diesel,1.9,4250.0
16639,163500,2015,diesel,1.6,14499.0
16651,445712,1998,diesel,1.9,3800.0
16652,278000,2006,diesel,2.0,6900.0
16654,132373,2012,gasoline,1.8,11800.0
16655,162291,2013,gasoline,1.8,11999.0
16657,317436,2008,diesel,2.0,6600.0
16659,180000,2008,gasoline,1.4,6999.0
16660,329379,2000,gasoline,1.8,4500.0
16661,201500,2008,gasoline,1.8,7700.0
16662,300000,2001,diesel,1.9,6000.0
16664,105000,2017,gasoline,1.4,16000.0
16667,556556,1988,gasoline,1.6,1050.0
16668,100,1994,gasoline,1.8,1700.0
16669,100000,1993,gasoline,1.8,1500.0
16672,304041,2010,gas,1.4,8200.0
16674,310000,1997,diesel,1.9,4100.0
16675,138000,2015,gasoline,1.4,14499.0
16677,555555,1991,diesel,1.9,1300.0
16678,337500,1992,gasoline,2.0,1600.0
16679,300000,1993,gasoline,2.0,1400.0
16682,335000,2002,diesel,1.9,5600.0
16685,313000,1988,gasoline,1.8,1250.0
16686,261239,2001,diesel,1.9,4097.51
16688,345000,1986,gasoline,1.8,450.0
16690,383000,2000,diesel,2.5,4300.0
16692,304000,2006,gasoline,2.0,6150.0
16695,446600,1995,diesel,1.9,2700.0
16710,333333,1992,diesel,1.6,1800.0
16711,300000,2007,diesel,2.0,7000.0
16721,65000,2013,gasoline,1.8,13600.0
16725,380000,1997,gas,1.6,1990.0
16727,324000,2008,gasoline,2.0,6600.0
16728,129000,2012,gasoline,1.8,11850.0
16729,341000,2001,gasoline,1.8,3550.0
16746,200000,1990,gasoline,1.8,1400.0
16747,384000,1995,gasoline,1.8,1500.0
16749,392000,2006,gasoline,2.0,5000.0
16752,244000,1988,gasoline,1.8,1200.0
16756,109000,2010,gasoline,1.8,11000.0
16759,350000,1997,diesel,1.9,3500.0
16760,350000,1996,diesel,1.9,3999.0
16763,230000,2007,gasoline,2.0,6200.0
16764,308660,1988,gasoline,1.8,1000.0
16766,170000,2013,gasoline,1.8,12500.0
16767,178000,2010,gasoline,1.4,7900.0
16769,420000,1991,gasoline,1.8,1100.0
16771,333333,2004,diesel,2.5,5000.0
16773,220000,2006,gasoline,2.0,6700.0
16774,430000,1998,diesel,1.9,4000.0
16776,330000,1997,gas,1.6,2300.0
16777,290000,1989,gasoline,1.6,1000.0
16778,300000,1989,gasoline,1.8,1399.0
16782,276878,1995,gasoline,1.8,1600.0
16785,350000,1996,gasoline,1.8,1800.0
16792,198009,2006,diesel,2.0,5350.0
16796,285000,2007,diesel,2.0,7000.0
16801,360000,2002,diesel,1.9,4200.0
16802,160000,1986,gasoline,1.6,850.0
16805,450000,1993,gasoline,1.8,1000.0
16807,450000,2000,diesel,1.9,3950.0
16810,490000,1989,gasoline,1.8,1900.0
16811,166000,2015,diesel,2.0,18300.0
16812,250000,1994,diesel,1.9,2400.0
16819,280000,2001,gasoline,1.8,4600.0
16820,330000,1994,gasoline,2.0,1750.0
16824,300000,1989,gasoline,2.0,1000.0
16831,305000,2001,gasoline,2.0,2700.0
16832,309000,1991,gasoline,2.0,2323.82
16835,380000,1996,gasoline,1.6,4300.0
16837,300000,1993,gasoline,1.8,800.0
16839,311000,2007,gasoline,1.8,8100.0
16840,295000,1997,diesel,1.9,4900.0
16844,398789,1992,diesel,1.9,1900.0
16846,102000,2012,gasoline,1.8,11499.0
16847,255000,1992,gasoline,1.8,1750.0
16848,255000,1992,gasoline,1.8,1750.0
16849,258000,1992,gasoline,1.8,1500.0
16851,966666,1988,diesel,1.6,500.0
16852,585000,1996,gas,2.0,2300.0
16853,250000,1991,gasoline,1.8,1250.0
16854,278400,2011,diesel,2.0,11899.0
16855,386236,1992,diesel,1.9,1900.0
16856,140000,2011,gasoline,1.4,17000.0
16860,240000,1993,gasoline,1.8,1114.48
16861,400000,1990,gasoline,1.8,1500.0
16863,302000,1996,gasoline,1.6,3082.61
16866,247000,2007,diesel,1.9,7150.0
16867,183000,2015,diesel,1.6,13800.0
16869,222222,1989,gasoline,1.8,750.0
16871,356520,1999,diesel,2.5,3650.0
16873,356248,1990,gas,1.8,730.0
16874,330000,1997,gasoline,1.6,3750.0
16875,340000,1990,gasoline,1.8,1650.0
16877,398000,1995,gasoline,1.6,2450.0
16878,323852,2010,diesel,1.6,9000.0
16879,360000,1989,gasoline,1.8,1600.0
16880,368000,2007,diesel,2.0,7400.0
16883,250000,1995,gas,1.8,2400.0
16884,270000,2007,diesel,1.9,8700.0
16887,307000,2002,gasoline,1.8,5000.0
16888,295000,2006,diesel,1.9,6900.0
16889,163000,2015,diesel,1.6,14490.0
16893,195000,2015,diesel,2.0,13950.0
16894,170000,2008,gasoline,1.6,6200.0
16896,196000,2008,gasoline,1.8,7445.7
16899,270000,1999,gasoline,1.8,4000.0
16902,300000,1990,gasoline,1.8,2200.0
16903,340000,1994,gasoline,1.8,2300.0
16904,438700,2002,diesel,1.9,3700.0
16905,180000,2010,gasoline,1.4,9500.0
16908,350000,2003,diesel,1.9,5300.0
16911,33328,1988,gasoline,1.6,1200.0
16914,160000,2009,gasoline,1.4,7500.0
16915,305000,2001,diesel,1.9,4500.0
16923,182000,2011,diesel,1.6,10200.0
16928,380000,1990,gasoline,1.8,1000.0
16933,350000,1994,gas,1.8,1500.0
16934,385745,2002,diesel,1.9,5700.0
16936,500000,1990,gasoline,1.6,1000.0
16937,435000,1999,diesel,1.9,4400.0
16939,348000,2006,diesel,2.0,6500.0
16940,360000,1989,gasoline,1.8,1600.0
16947,344800,2005,diesel,2.0,6100.0
16948,328000,2006,diesel,2.0,5500.0
16950,321300,2006,gasoline,2.0,6200.0
16951,215000,2010,diesel,1.6,11550.0
16953,168000,2016,diesel,1.6,14700.0
16954,380000,1998,diesel,1.9,3950.0
16958,280,1988,gasoline,1.8,500.0
16959,548456,1990,gas,1.8,1750.0
16964,300,1985,diesel,1.9,758.8
16965,500000,1997,diesel,1.9,3550.0
16966,241000,1999,gasoline,1.8,4200.0
16967,154000,2015,diesel,1.6,14200.0
16970,200000,1999,diesel,1.9,4300.0
16971,280000,1994,gasoline,1.8,2500.0
16979,182000,2009,gas,1.4,7750.0
16981,340000,2010,diesel,2.0,8400.0
16985,300000,1994,gasoline,2.0,3100.0
16986,327000,2007,diesel,1.9,7900.0
16989,380000,2005,diesel,2.0,5500.0
16996,260000,2007,diesel,2.0,7700.0
17000,312000,1997,gasoline,1.6,2400.0
17008,537400,1995,gasoline,1.8,1900.0
17015,123456,1992,gasoline,1.8,900.0
17017,319000,1998,gasoline,1.8,3800.0
17025,400000,1994,diesel,1.9,2400.0
17032,397000,1994,gasoline,2.0,2500.0
17035,200000,1991,gasoline,1.8,1300.0
17038,221000,2005,gasoline,1.6,6499.0
17042,455000,1998,gasoline,1.8,3500.0
17044,354000,1997,diesel,1.9,3100.0
17046,163900,2008,gasoline,1.8,7950.0
17047,374000,2006,diesel,2.0,6500.0
17048,122000,1996,gasoline,1.8,2100.0
17050,285000,2007,diesel,1.9,8000.0
17054,154200,2008,gasoline,2.0,7200.0
17056,420000,1998,diesel,1.9,4100.0
17060,210000,2006,gasoline,2.0,6400.0
17061,317041,2000,gasoline,1.8,3700.0
17062,386000,2002,diesel,1.9,6000.0
17063,100,1986,diesel,1.6,600.0
17064,199000,1988,gasoline,1.8,1350.0
17065,223000,2007,diesel,2.0,7800.0
17067,310000,1997,gasoline,1.6,3500.0
17068,302500,1996,gasoline,1.6,3082.61
17069,315000,2007,gasoline,2.0,6400.0
17074,260000,1999,diesel,2.5,3900.0
17076,430000,1999,gasoline,1.8,3150.0
17077,450450,1988,gasoline,1.6,900.0
17081,310000,2010,gas,1.4,8900.0
17085,500000,1999,diesel,1.9,3900.0
17087,166000,1988,gasoline,1.8,2500.0
17096,290000,1998,gasoline,2.8,1000.0
17100,226400,2011,gasoline,1.8,9500.0
17101,310000,2007,diesel,2.0,7800.0
17107,435903,2002,diesel,1.9,3820.07
17109,450460,1988,gasoline,1.6,1050.0
17110,474000,1996,diesel,1.9,2000.0
17114,320000,1998,gasoline,1.8,4200.0
17115,285000,2005,diesel,2.0,6500.0
17117,275000,2007,diesel,1.9,6500.0
17118,500000,1987,gasoline,1.6,500.0
17120,335000,2001,diesel,1.9,4800.0
17124,273400,1996,gasoline,1.6,3000.0
17130,199614,2004,gas,1.8,4700.0
17135,316000,1990,gasoline,2.0,1200.0
17137,370149,1999,gasoline,1.8,3900.0
17138,250000,1987,gasoline,1.8,1100.0
17139,248000,2011,diesel,1.6,11450.0
17141,420000,2006,diesel,2.0,5200.0
17142,400000,1990,diesel,1.9,1000.0
17144,300000,1993,gasoline,1.8,1600.0
17147,30000,1996,gasoline,2.0,2450.0
17150,285749,2008,diesel,2.0,8500.0
17151,373000,1996,diesel,1.9,3150.0
17153,318000,2008,diesel,1.9,7600.0
17155,184000,2007,diesel,2.0,5216.72
17157,400000,2003,diesel,2.5,5800.0
17160,264000,2006,gasoline,2.0,6100.0
17166,298000,2002,gasoline,1.8,4500.0
17170,450000,2004,diesel,2.0,5300.0
17173,254721,1994,diesel,1.9,1450.0
17177,415000,1999,diesel,2.5,3300.0
17180,294000,1993,gas,2.8,2845.49
17183,400000,1995,diesel,1.9,2950.0
17185,320000,2007,diesel,1.9,7800.0
17187,288000,2009,diesel,2.0,11990.0
17188,166000,2016,diesel,1.6,16900.0
17190,340000,1996,gasoline,2.0,3100.0
17193,260000,2005,gasoline,2.0,5500.0
17196,337000,2003,diesel,1.9,5300.0
17197,119000,2015,gasoline,1.4,14300.0
17199,222210,2001,gasoline,1.8,4000.0
17200,600000,1996,diesel,1.9,3600.0
17201,355000,2007,diesel,1.9,7200.0
17203,370000,2002,gasoline,1.8,4100.0
17204,345123,1991,gasoline,2.0,1000.0
17211,145000,2012,gasoline,1.8,11500.0
17215,228000,2009,gasoline,1.4,8600.0
17217,176000,2009,gasoline,1.8,8300.0
17220,285000,2003,diesel,1.9,5200.0
17223,195000,2010,diesel,2.0,10950.0
17224,344000,2006,diesel,2.0,6000.0
17227,356000,1998,gasoline,1.8,3650.0
17237,310000,2006,diesel,1.9,6500.0
17240,192000,2009,diesel,2.0,6500.0
17247,240000,2007,gasoline,2.0,6950.0
17250,245000,2008,diesel,2.0,8897.0
17251,145000,2011,gasoline,1.8,11350.0
17263,199000,2012,diesel,1.6,10800.0
17266,577000,1994,diesel,1.9,2450.0
17267,350000,2004,diesel,1.9,5650.0
17269,300000,1987,gasoline,1.6,1750.0
17270,330000,2003,gas,1.8,4299.0
17272,342000,2005,diesel,1.9,6000.0
17273,380,1996,gasoline,2.0,2000.0
17275,38000,2010,gas,1.4,9500.0
17280,280000,2005,diesel,1.9,5900.0
17283,252000,1992,gasoline,2.0,1999.0
17288,248000,2006,diesel,2.0,7700.0
17293,354600,1992,diesel,1.9,1200.0
17297,350000,1993,diesel,1.9,2200.0
17298,370000,2005,diesel,2.0,6990.0
17308,102000,2012,gasoline,1.4,8700.0
17318,160000,2011,gasoline,1.4,9450.0
17322,201000,2008,diesel,2.0,9050.0
17325,296000,2008,gasoline,1.8,7499.0
17330,333333,1989,gasoline,1.8,650.0
17332,500000,1991,diesel,1.9,1850.0
17333,251000,2007,diesel,2.0,7600.0
17334,555555,1991,diesel,1.9,2500.0
17341,460000,2001,diesel,1.9,4000.0
17344,290000,1988,gasoline,1.8,1500.0
17345,346582,1991,gasoline,1.8,1650.0
17349,300000,2006,diesel,1.9,7400.0
17350,192678,2011,diesel,2.0,9990.0
17354,180000,2008,gasoline,1.6,8399.0
17365,260300,2011,gasoline,1.8,10199.0
17367,305000,2008,diesel,1.9,6805.46
17369,354500,1989,gasoline,1.8,700.0
17372,350000,1991,diesel,1.6,2000.0
17373,67000,1987,gasoline,1.8,500.0
17374,10000,1994,gasoline,2.0,2500.0
17375,300000,2006,diesel,1.9,5000.0
17377,168658,2004,gasoline,1.6,5550.0
17382,195000,2015,diesel,1.6,14599.0
17384,320000,2006,diesel,2.0,6700.0
17386,250000,1997,diesel,1.9,3600.0
17387,444444,1989,gasoline,1.8,1000.0
17389,500000,1991,gasoline,1.8,900.0
17390,350000,2001,diesel,1.9,5400.0
17392,148000,2010,gasoline,1.8,7999.0
17394,61155,2014,gasoline,1.8,13000.0
17395,400000,1995,gas,1.8,1700.0
17400,246100,2003,gasoline,2.8,3399.0
17402,288700,1993,gasoline,1.8,2999.0
17404,271000,2003,diesel,1.9,4499.0
17405,190019,2016,diesel,1.6,15650.0
17412,288,1997,gasoline,1.6,3600.0
17414,495000,1996,diesel,1.9,3000.0
17415,500000,1993,diesel,1.9,1000.0
17416,410000,1994,diesel,1.9,1900.0
17419,320000,2008,diesel,2.0,7500.0
17420,288950,1990,diesel,1.6,1400.0
17422,160000,2002,gasoline,1.8,5000.0
17426,459000,1990,gasoline,1.8,1550.0
17428,299907,2002,diesel,1.9,6000.0
17430,182000,2015,diesel,1.6,15900.0
17431,220000,2008,diesel,2.0,9700.0
17432,470457,1992,gasoline,1.8,850.0
17439,350456,1989,gasoline,1.8,950.0
17444,261000,2006,diesel,2.0,6200.0
17445,440000,1988,diesel,1.9,1350.0
17446,215000,2010,diesel,2.0,8950.0
17447,500000,2006,gasoline,3.2,4150.0
17457,245000,1994,gasoline,2.0,2600.0
17459,200000,1988,gasoline,1.6,1000.0
17463,143225,2016,diesel,1.6,13900.0
17464,350000,1997,gasoline,1.6,3319.74
17473,650000,1991,diesel,1.9,1250.0
17474,348000,2006,diesel,2.0,6400.0
17479,330000,2006,diesel,2.0,7000.0
17483,250000,1991,gasoline,2.0,1000.0
17484,350000,1989,gasoline,1.8,900.0
17485,463437,1994,gasoline,1.8,2500.0
17486,274681,2001,diesel,1.9,4500.0
17490,177000,2011,gasoline,1.8,10300.0
17495,10,1992,gasoline,1.8,1200.0
17498,40000,1990,gasoline,1.8,1111.0
17500,370000,2001,diesel,1.9,5400.0
17509,52000,2015,gasoline,1.8,14200.0
17513,45000,1986,gasoline,1.6,400.0
17514,425432,1997,diesel,1.9,3300.0
17515,160000,2009,gasoline,1.4,7500.0
17521,304000,2006,diesel,1.9,6300.0
17525,475000,1993,diesel,1.9,1659.87
17528,150000,2014,diesel,2.0,15900.0
17529,252350,2006,gasoline,2.0,6500.0
17530,360000,1999,diesel,1.9,3999.0
17533,199000,1998,gasoline,1.8,3500.0
17534,358078,1994,diesel,1.9,1500.0
17536,390000,1993,gasoline,1.8,1150.0
17537,220000,2011,diesel,2.0,12500.0
17540,111111,2001,gasoline,1.8,4800.0
17541,199900,2016,diesel,2.0,16000.0
17544,123456,1997,gasoline,1.8,3333.0
17545,325000,2005,diesel,2.0,5900.0
17550,613745,1991,diesel,1.9,1422.74
17551,500000,1996,diesel,1.9,2999.0
17557,202000,2005,diesel,1.9,6100.0
17559,386000,1998,diesel,1.9,3800.0
17562,178000,2010,diesel,2.0,9790.0
17563,289324,2008,diesel,2.0,7200.0
17568,261000,2009,gas,1.4,7950.0
17569,312000,1997,gasoline,1.8,2200.0
17571,11,1996,diesel,1.9,1843.88
17574,466666,1988,gasoline,1.8,900.0
17580,333000,1986,gasoline,1.8,700.0
17587,250000,2003,gasoline,1.8,4100.0
17589,501000,1995,diesel,1.9,3500.0
17590,390000,2008,diesel,2.0,6599.0
17591,220000,2005,diesel,2.0,5850.0
17592,160000,2010,diesel,2.0,7700.0
17593,219000,2009,gasoline,1.4,6450.0
17594,300000,2000,gasoline,1.8,2500.0
17596,65000,2015,gasoline,1.8,12900.0
17597,290000,2001,gasoline,2.0,2000.0
17598,320000,1996,gas,2.0,2200.0
17600,280000,2005,diesel,2.0,7500.0
17602,390000,1991,gasoline,1.8,1000.0
17606,422000,1995,gasoline,2.0,2000.0
17607,200000,1988,gasoline,1.8,1300.0
17616,207000,2015,diesel,2.0,19950.0
17620,250000,1997,gasoline,1.6,3500.0
17637,310000,2000,gasoline,1.6,2700.0
17638,371387,1992,gasoline,1.8,968.89
17639,260000,2007,gasoline,2.0,5500.0
17642,312000,2005,diesel,2.0,6400.0
17643,350000,1986,diesel,1.6,450.0
17647,240000,1996,gas,2.0,3000.0
17650,168000,2011,gasoline,1.8,10200.0
17653,162000,2015,diesel,1.6,15950.0
17656,200000,1989,gasoline,1.8,1250.0
17659,300000,2002,gasoline,1.8,3500.0
17660,50000,1988,gasoline,1.8,550.0
17662,358000,1988,gas,1.6,850.0
17665,185200,2010,diesel,2.0,9250.0
17668,286000,2008,diesel,2.0,8300.0
17671,319000,1992,gasoline,2.0,1700.0
17673,330000,1988,gasoline,1.6,650.0
17675,256675,1980,gasoline,1.8,1000.0
17677,300000,1996,diesel,1.9,3100.0
17683,305000,1989,gasoline,1.8,1350.0
17688,317000,2007,diesel,2.0,7100.0
17689,430000,1989,gasoline,1.8,1500.0
17690,165000,2011,gasoline,1.4,9350.0
17691,325000,2001,diesel,2.5,5000.0
17692,430000,1988,gasoline,1.8,1450.0
17693,1000000,1995,diesel,1.9,2000.0
17708,312000,1997,gasoline,1.6,3300.0
17710,300000,1992,gasoline,1.8,1150.0
17711,170000,2012,gasoline,1.8,10900.0
17713,111111,1993,diesel,1.6,1300.0
17714,400000,1992,gasoline,1.8,1000.0
17717,400000,1986,diesel,1.6,585.22
17718,507000,1991,gasoline,1.8,1500.0
17719,220000,2008,gasoline,1.8,6500.0
17727,350000,1998,diesel,1.9,3499.0
17733,286000,2008,diesel,2.0,9300.0
17737,93000,2011,gasoline,1.4,9500.0
17741,400000,1998,gasoline,1.6,3500.0
17746,160000,2007,gasoline,2.0,7800.0
17747,266000,2005,diesel,1.9,7300.0
17748,200000,1994,diesel,1.9,2700.0
17753,306000,1989,gas,1.8,1200.0
17760,310000,1993,gasoline,1.8,1800.0
17763,300000,2006,diesel,2.0,7300.0
17766,270000,1989,gas,1.8,1350.0
17768,130000,1994,diesel,1.9,2700.0
17769,360000,2006,diesel,1.9,7300.0
17772,260000,1988,gasoline,1.6,1650.0
17774,253000,1995,gasoline,1.8,2650.0
17776,345000,1993,diesel,1.9,1500.0
17777,345000,2005,diesel,1.9,6000.0
17780,300000,1993,gasoline,1.8,1200.0
17781,350000,1994,diesel,1.9,1450.0
17782,358760,1996,diesel,1.9,3600.0
17783,395000,1991,gasoline,2.0,700.0
17784,75000,2010,gasoline,1.4,10500.0
17787,245000,2011,diesel,1.6,10500.0
17788,308000,2002,diesel,1.9,4680.0
17794,322000,2006,gasoline,2.0,5350.0
17797,500000,1992,gasoline,2.0,1000.0
17800,190000,2001,gasoline,1.6,4600.0
17801,209000,2002,diesel,1.9,5300.0
17813,182000,2006,diesel,2.0,6000.0
17816,322000,1994,gasoline,1.8,2200.0
17818,108000,2014,gasoline,1.8,13200.0
