,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
18870,250000,1995,diesel,1.9,3200.0
18871,405000,1995,diesel,1.9,4100.0
18873,260000,2010,gas,1.4,9800.0
18877,580000,1994,diesel,1.9,2175.0
18879,298000,1990,gasoline,1.8,1000.0
18883,330000,1987,gasoline,1.6,400.0
18884,445000,1996,gas,2.0,2199.0
18886,252000,2001,gasoline,2.0,3999.0
18889,320000,1997,gasoline,1.8,2600.0
18892,327000,1992,gasoline,1.8,3550.0
18895,470000,1997,gasoline,1.8,4200.0
18896,246547,1995,gasoline,2.0,1600.0
18899,327000,2010,diesel,2.0,8600.0
18902,260000,2004,diesel,2.0,5250.0
18907,250000,2006,diesel,1.9,7800.0
18916,211750,2008,gasoline,1.8,7150.0
18918,400000,1994,gas,1.8,3100.0
18921,430000,2004,diesel,1.9,4837.33
18923,190000,2009,diesel,2.0,9000.0
18925,266000,2000,diesel,1.9,4400.0
18926,330000,1990,gasoline,1.6,1200.0
18930,450000,1999,diesel,1.9,3700.0
18932,303000,2003,diesel,1.9,5400.0
18936,290000,2006,diesel,1.9,6000.0
18941,260000,1999,gasoline,1.8,5500.0
18943,260000,2006,diesel,1.9,7000.0
18946,265000,2002,diesel,1.9,4300.0
18950,360000,2005,gasoline,2.0,6700.0
18952,260000,2000,diesel,1.9,4000.0
18953,300000,1997,gasoline,1.6,3500.0
18958,341000,2001,diesel,1.9,4100.0
18961,444444,1998,gasoline,1.8,3700.0
18963,293000,2002,diesel,1.9,4300.0
18964,275000,2008,gasoline,1.8,6700.0
18966,260000,2008,gasoline,1.8,6700.0
18970,326000,2007,diesel,2.0,6800.0
18971,90000,2011,gasoline,1.4,9350.0
18972,151000,2014,gasoline,1.4,11700.0
18978,234500,2008,diesel,2.0,7500.0
18980,225000,2007,diesel,1.9,7700.0
18982,326543,2005,diesel,1.9,6800.0
18987,353000,2001,gasoline,2.0,4500.0
18988,346000,2005,diesel,1.9,6900.0
18989,406000,1992,gasoline,1.8,900.0
18990,166000,2014,diesel,2.0,21000.0
18997,222000,2008,gasoline,2.0,7200.0
18998,267300,2003,diesel,1.9,5550.0
19006,200000,2001,gasoline,2.0,4200.0
19011,400000,1998,gasoline,1.8,2000.0
19014,298000,2009,diesel,2.0,7800.0
19015,198461,1997,gasoline,1.6,3100.0
19016,220000,2008,diesel,1.9,7000.0
19017,240000,1997,gasoline,1.6,4100.0
19021,324850,2001,diesel,1.9,4900.0
19023,220000,1999,gasoline,1.8,2987.76
19024,55555,1992,diesel,1.9,1700.0
19025,350000,2005,gasoline,2.0,5800.0
19026,115000,2011,diesel,2.0,14000.0
19027,370000,2008,diesel,1.9,7200.0
19028,280000,2005,gasoline,2.0,6100.0
19029,51499,2015,gasoline,1.8,12600.0
19030,240000,2007,diesel,2.0,7000.0
19031,350000,2004,diesel,1.9,4700.0
19032,450000,1993,gasoline,1.8,1500.0
19033,300000,1990,gasoline,1.8,950.0
19035,400000,1994,diesel,1.9,2821.78
19036,400000,1994,gasoline,1.8,2150.0
19038,369000,2002,diesel,1.9,5050.0
19042,322000,2001,gas,1.8,4300.0
19043,280000,1991,gasoline,1.8,1750.0
19046,204056,1993,diesel,1.9,1000.0
19047,280000,2007,gasoline,2.0,6600.0
19049,345200,1989,gasoline,1.8,1000.0
19054,450000,1988,gas,1.8,1100.0
19057,206000,2012,gasoline,1.8,9200.0
19062,235000,2000,diesel,1.9,4900.0
19064,350000,1998,diesel,1.9,4500.0
19067,425000,1989,gasoline,1.6,2500.0
19068,120000,2011,gasoline,1.8,9500.0
19069,360000,1998,diesel,2.5,3600.0
19083,205000,2012,gasoline,1.8,10900.0
19087,223000,2006,gasoline,2.0,5650.0
19090,263000,2001,diesel,1.9,4500.0
19093,233000,2006,diesel,2.0,7500.0
19107,420000,1988,gasoline,1.8,1600.0
19108,495000,1996,diesel,1.9,2600.0
19111,350000,2002,gasoline,1.8,4700.0
19112,380000,1991,gasoline,1.8,1400.0
19116,229700,2001,gasoline,2.0,5200.0
19119,170300,2015,diesel,1.6,16490.0
19120,226400,2011,diesel,1.6,11200.0
19121,215000,2007,diesel,2.0,8500.0
19127,280000,2007,diesel,2.0,7000.0
19128,380000,1997,gasoline,1.6,3000.0
19132,25000,1999,gasoline,2.8,2900.0
19134,400000,1994,gasoline,1.8,2550.0
19137,157000,2007,diesel,2.0,5900.0
19143,123000,2011,diesel,1.6,10500.0
19148,370000,1993,gasoline,1.8,2100.0
19150,270000,2000,gasoline,1.8,3900.0
19151,285000,2007,diesel,1.9,7500.0
19154,69000,2014,diesel,2.0,16500.0
19155,278000,2007,gasoline,1.8,5000.0
19156,400000,1998,gasoline,1.6,3789.24
19159,516000,1999,diesel,1.9,4200.0
19161,293000,2004,diesel,1.9,5100.0
19162,100000,2008,diesel,2.0,6750.0
19165,116500,2011,gasoline,1.8,10900.0
19168,239000,2009,diesel,2.0,10000.0
19170,300000,1998,gasoline,1.8,3100.0
19171,389550,1995,diesel,1.9,1900.0
19172,415000,1996,gasoline,1.6,2500.0
19178,360000,1996,gasoline,1.8,3650.0
19179,260000,2006,diesel,1.9,6650.0
19185,300000,1984,gasoline,1.8,680.0
19186,307000,2004,gasoline,2.0,4200.0
19194,340000,2001,gas,1.8,3600.0
19196,400100,2006,diesel,2.0,7000.0
19197,320000,2005,diesel,2.0,6000.0
19198,400000,1995,gasoline,2.0,1700.0
19200,30000,1996,gasoline,2.0,2300.0
19201,350000,1996,gasoline,1.6,1900.0
19204,260000,2005,gasoline,2.0,8200.0
19208,280000,2000,gasoline,1.8,3900.0
19211,193000,2014,gasoline,1.8,12500.0
19216,500000,1999,diesel,1.9,3800.0
19218,460000,2001,diesel,2.5,5000.0
19219,204000,2010,gasoline,1.4,7999.0
19220,300000,1997,gasoline,1.6,2000.0
19224,380000,1991,gasoline,1.8,2650.0
19228,400000,1994,gasoline,2.0,1700.0
19230,400000,1993,diesel,1.9,2700.0
19232,225000,2008,diesel,1.9,7500.0
19235,342500,2002,gasoline,1.8,4979.6
19238,347000,2002,gasoline,2.8,3900.0
19242,445000,1994,gas,2.0,1800.0
19244,298000,2008,diesel,2.0,7800.0
19247,180000,2006,gasoline,2.0,7200.0
19249,260000,2006,diesel,2.0,7000.0
19251,209000,2006,gasoline,2.0,5900.0
19253,185000,2010,diesel,2.0,8700.0
19254,270000,2007,diesel,2.0,8000.0
